title,introduction,link,price,booking_date,rating_star,rating_count,country,cities,cat_key
Hash Marihuana & Hemp Museum tickets,Book tickets to visit the Hash Marihuana & Hemp Museum in Barcelona. Discover this Modernist palace dedicated to cannabis and admire its permanent collection.,https://www.kkday.com/zh-tw/product/117899,279,20220318,0,0,西班牙,['巴塞隆納'],['景點門票']
Chamonix Mont Blanc day trip from Geneva,Book your Chamonix Mont Blanc day trip from Geneva with Musement to spend a day in one of Mont Blanc's most famous and beautiful mountain villages.,https://www.kkday.com/zh-tw/product/117892,465,20220317,0,0,瑞士,['日内瓦'],['景點門票']
Sport fishing tour in Miami,Book your sport fishing tour in Miami to catch and keep fish you catch from a party boat in the Gulf Stream whether you're a novice or expert.,https://www.kkday.com/zh-tw/product/117885,1395,20220317,0,0,美國,['邁阿密'],['景點門票']
Beer bike tour in Lisbon,"Book your Beer bike tour in Lisbon, the best and funniest way to discover Lisbon",https://www.kkday.com/zh-tw/product/117849,775,20220317,0,0,葡萄牙,['里斯本'],['景點門票']
Full-day private tour of Pompeii Vesuvius and Sorrento from Naples,"Book your full-day tour of Pompeii, Vesuvius and Sorrento to visit the famous cliffside towns on Amalfi Coast and tour the ruins of Pompeii.",https://www.kkday.com/zh-tw/product/117839,2790,20220317,0,0,義大利,['阿馬爾菲'],['景點門票']
The Cold War Years - Prague under Totalitarianism Tour with a Historian,Visit Prague learning more about history with the Cold War Years tour. Book unforgettable experiences in the famous capital of the Czech Republic on Musement.,https://www.kkday.com/zh-tw/product/117826,2015,20220317,0,0,捷克,['布拉格'],['城市觀光']
Tour of Ouarzazate and Erfoud desert from Marrakech - 4 days,Buy your 4 Days-3 Nights excursion to Ouarzazate and Desert Erfoud from Marrakech with Musement. Discover the Moroccan countryside in 4 days and 3 nights.,https://www.kkday.com/zh-tw/product/117820,13456,20220317,0,0,摩洛哥,['馬拉喀什'],['景點門票']
Prague 1000 years in the center of Europa historic tour,"Buy your Prague Walking Tour with a Historian with Musement with our price match guarantee and secure booking. Get informed, plan and book your amazing activities in Prague.",https://www.kkday.com/zh-tw/product/117818,1302,20220318,0,0,捷克,['布拉格'],['景點門票']
Muir Woods with Napa and Sonoma Wine Country tour,"Book your Muir Woods, Napa and Sonoma Wine Country tour and spend the day exploring the Redwoods and tasting local wine.",https://www.kkday.com/zh-tw/product/117817,3689,20220316,0,0,美國,['舊金山'],['特色行程']
Downtown LA Food Tour,Join us on a real foodie adventure as we eat our way through our favorite neighborhoods and uncover the best off-the-beaten-path food spots in LA!,https://www.kkday.com/zh-tw/product/117812,2139,20220319,0,0,美國,['加利福尼亞'],['景點門票']
3-Hour monuments & souks walking tour in Marrakech,"Take part to this 3-Hour monuments & souks walking tour in Marrakech with Musement. Explore the local streets of the old Medina and souks and discover Koutoubia, one of the largest mosques of the western Muslim world.",https://www.kkday.com/zh-tw/product/117794,775,20220317,0,0,摩洛哥,['馬拉喀什'],['景點門票']
Versailles Palace and Gardens tour with Chef Ducasse Lunch,Embark upon our guided visit to the Chateau de Versailles and enjoy a delicious meal at Ore restaurant proposing fine French cuisine by chef Alain Ducasse.,https://www.kkday.com/zh-tw/product/117785,1857,20220319,0,0,法國,['巴黎'],['景點門票']
Arctic sail safari,"Go sailing, learn about marine life, catch your own fish and enjoy the meal of your trip onboard. Simply a fantastic Arctic day at sea!",https://www.kkday.com/zh-tw/product/117784,2697,20220317,0,0,挪威,['特羅姆瑟'],['景點門票']
Northern Lights sailing,"Cruise through the fjords surrounding Tromsø on a warm, comfortable catamaran in search of the Aurora and watch the sky dance above you.",https://www.kkday.com/zh-tw/product/117782,2232,20220317,0,0,挪威,['特羅姆瑟'],['景點門票']
Split: Game of Thrones walking tour,Book your Game of Thrones walking tour in Split with Musement to see many city sites filmed in the series as well as learn about the history of this fascinating Dalmatian gem.,https://www.kkday.com/zh-tw/product/117749,1085,20220401,0,0,克羅埃西亞,['史普利特'],['景點門票']
Full-day trip to Grindelwald and Interlaken from Lucerne,"Enjoy full-day excursion to Switzerland's alpine regions, the Bernese Oberland and Jungfrau. Explore Grindelwald and Interlaken with 6 hours of free time.",https://www.kkday.com/zh-tw/product/117746,1302,20220319,0,0,瑞士,['琉森'],['景點門票']
Villa Borghese bike tour in Rome,"Book our bike tour and breathe in some fresh air during a relaxing bike ride in Villa Borghese, the most popular park in Rome.",https://www.kkday.com/zh-tw/product/117742,1209,20220318,0,0,義大利,['羅馬'],['景點門票']
New York City Slavery and Underground Railroad Tour,Book your New York City Slavery and Underground Railroad Tour with Musement to experience the stories of escaped slaves.,https://www.kkday.com/zh-tw/product/117737,806,20220316,0,0,美國,['紐約'],['景點門票']
The BEAST speedboat ride,Purchase your tickets for the BEAST speedboat ride on Musement today and experience New York's fastest boat attraction!,https://www.kkday.com/zh-tw/product/117727,713,20220507,0,0,美國,['紐約'],['景點門票']
Full-day Cape Peninsula tour,Book your Full-day Cape Peninsula tour and enjoy a whole day of adventures in one of the most outstanding territories in South Africa.,https://www.kkday.com/zh-tw/product/117705,1364,20220317,0,0,南非,['開普敦'],['特色行程']
Boston Tea Party Ships and Museum tickets,Book your tickets for Boston Tea Party Ships and Museum today to experience reenactments of the events that led to the American Revolution!,https://www.kkday.com/zh-tw/product/117704,620,20220317,0,0,美國,['波士頓'],['景點門票']
Prague walking tour with admission to the Astronomical Clock Tower,"See Prague's Old Town Square, New Town, and the Astronomical Clock Tower. Enjoy learning about the history and architecture of the city and hear its legends and stories. Take in the views from Astronomical Clock Tower and soak up the city's eclectic mix of past and present.",https://www.kkday.com/zh-tw/product/117698,775,20220317,0,0,捷克,['布拉格'],['景點門票']
Summits of Berchtesgaden and Eagles Nest tour from Munich,"The Eagle's Nest or Kehlsteinhaus is one of the most magic places in Bavaria, despite the dark Nazi chapter in his history. Enjoy it on a tour from Munich.",https://www.kkday.com/zh-tw/product/117697,899,20220506,0,0,德國,['慕尼黑'],['景點門票']
Ticket Modellpark Berlin-Brandenburg,Visit the Modellpark Berlin-Brandenburg and see the dome of the Reichstag and the Spandau Citadel from a birds' eye view,https://www.kkday.com/zh-tw/product/117667,78,20220317,0,0,德國,['柏林'],['景點門票']
Ravenna private tour with entrance to monuments,Enjoy a 3-hour private tour of Ravenna: get insights from your expert local guide and admire its stunning mosaics!,https://www.kkday.com/zh-tw/product/117665,1984,20220317,0,0,義大利,['艾米利亞-羅馬涅'],['景點門票']
Wine tasting in Milan,Take part in a unique wine tasting experience and discover the city of Milan through its amazing wine scene.,https://www.kkday.com/zh-tw/product/117655,1519,20220318,0,0,義大利,['米蘭'],['一日遊']
Fado tour at night,"Discover the authentic Fado experience. Enjoy the real Portuguese fado in Lisbon, the true soulful sound of Lisbon. Book now with Musement",https://www.kkday.com/zh-tw/product/117647,806,20220318,0,0,葡萄牙,['里斯本'],['景點門票']
Zurich sunset tour with cheese fondue,Enjoy the beautiful view over Zurich and relax in a cozy restaurant with traditional Swiss cheese fondue. Book your tickets for this experience with Musement!,https://www.kkday.com/zh-tw/product/117638,3999,20220326,0,0,瑞士,['蘇黎世'],['景點門票']
Go Cancun  All-Inclusive Pass,Get your Go Cancun Card with Musement. Save up to 50% off combined admission prices and skip the line at select attractions,https://www.kkday.com/zh-tw/product/117631,1767,20221231,0,0,墨西哥,['坎昆'],['景點門票']
Modern and future Dubai tour,Book your modern and future Dubai tour and explore all the modern features of the city as well as discovering future projects.,https://www.kkday.com/zh-tw/product/117622,3658,20220320,0,0,阿拉伯聯合大公國,['杜拜'],['景點門票']
Mombasa half-day city tour,Enjoy your Mombasa half-day city tour and explore the tradition and old quarters sightseeing.,https://www.kkday.com/zh-tw/product/117604,527,20220322,0,0,肯亞,['蒙巴薩'],['景點門票']
The best of Oslo tour,Discover the main attractions of Oslo on this guided tour. Book your tickets with Musement!,https://www.kkday.com/zh-tw/product/117593,1550,20220503,0,0,挪威,['奧斯陸'],['景點門票']
Paddington Bear walking tour of London,Book your Paddington Bear walking tour of London with Musement. Stop at Mr. Gruber's antique shop and go to the world-famous Portobello Market.,https://www.kkday.com/zh-tw/product/117591,372,20220319,0,0,英國,['倫敦'],['景點門票']
Marrakech full day guided tour with lunch,Buy your guided visit of Marrakech with Musement. Get lost in the winding streets of the Medina and find treasures in the famous souks.,https://www.kkday.com/zh-tw/product/117519,1736,20220317,0,0,摩洛哥,['馬拉喀什'],['景點門票']
